ablation_name,event_id,target_bundle_id,target_rank_before,target_rank_after,baseline_top1_bundle_id,e32b_top1_bundle_id,target_in_top3,target_lost_top1,lost_reason
A0_E31_combined_baseline,M-RE-TC-005,287,2,2,286,286,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A0_E31_combined_baseline,M-RE-TC-006,336,3,3,338,338,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A0_E31_combined_baseline,M-RE-TC-010,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A0_E31_combined_baseline,M-RE-TC-011,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A0_E31_combined_baseline,M-RE-TC-015,628,2,2,636,636,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A1_freeze_gate_only,M-RE-TC-005,287,2,2,286,286,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A1_freeze_gate_only,M-RE-TC-006,336,3,3,338,338,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A1_freeze_gate_only,M-RE-TC-010,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A1_freeze_gate_only,M-RE-TC-011,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A1_freeze_gate_only,M-RE-TC-015,628,2,2,636,636,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A2_strict_swap_gate_only,M-RE-TC-005,287,2,2,286,286,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A2_strict_swap_gate_only,M-RE-TC-006,336,3,3,338,338,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A2_strict_swap_gate_only,M-RE-TC-010,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A2_strict_swap_gate_only,M-RE-TC-011,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A2_strict_swap_gate_only,M-RE-TC-015,628,2,2,636,636,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A3_pairwise_top3_comparator_only,M-RE-TC-005,287,2,2,286,286,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A3_pairwise_top3_comparator_only,M-RE-TC-006,336,3,3,338,338,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A3_pairwise_top3_comparator_only,M-RE-TC-010,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A3_pairwise_top3_comparator_only,M-RE-TC-011,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A3_pairwise_top3_comparator_only,M-RE-TC-015,628,2,2,636,636,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A4_freeze_plus_strict_swap,M-RE-TC-005,287,2,2,286,286,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A4_freeze_plus_strict_swap,M-RE-TC-006,336,3,3,338,338,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A4_freeze_plus_strict_swap,M-RE-TC-010,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A4_freeze_plus_strict_swap,M-RE-TC-011,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A4_freeze_plus_strict_swap,M-RE-TC-015,628,2,2,636,636,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A5_freeze_plus_pairwise,M-RE-TC-005,287,2,2,286,286,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A5_freeze_plus_pairwise,M-RE-TC-006,336,3,3,338,338,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A5_freeze_plus_pairwise,M-RE-TC-010,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A5_freeze_plus_pairwise,M-RE-TC-011,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A5_freeze_plus_pairwise,M-RE-TC-015,628,2,2,636,636,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A6_strict_swap_plus_pairwise,M-RE-TC-005,287,2,2,286,286,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A6_strict_swap_plus_pairwise,M-RE-TC-006,336,3,3,338,338,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A6_strict_swap_plus_pairwise,M-RE-TC-010,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A6_strict_swap_plus_pairwise,M-RE-TC-011,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A6_strict_swap_plus_pairwise,M-RE-TC-015,628,2,2,636,636,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A7_full_E32b_safe_top3,M-RE-TC-005,287,2,2,286,286,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A7_full_E32b_safe_top3,M-RE-TC-006,336,3,3,338,338,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A7_full_E32b_safe_top3,M-RE-TC-010,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A7_full_E32b_safe_top3,M-RE-TC-011,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A7_full_E32b_safe_top3,M-RE-TC-015,628,2,2,636,636,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A8_full_E32b_no_content_score,M-RE-TC-005,287,2,2,286,286,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A8_full_E32b_no_content_score,M-RE-TC-006,336,3,3,338,338,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A8_full_E32b_no_content_score,M-RE-TC-010,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
